City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
High Level,58.5169,-117.136,77.63,28,67,7.36,CA,2021-07-12 22:04:37
Cape Town,-33.9258,18.4232,50.11,78,92,4.0,ZA,2021-07-12 22:04:38
Syracuse,37.0881,15.2792,82.62,63,0,7.52,IT,2021-07-12 22:04:38
Lavrentiya,65.5833,-171.0,48.11,85,83,8.55,RU,2021-07-12 22:04:38
Tasiilaq,65.6145,-37.6368,48.36,95,100,16.28,GL,2021-07-12 22:04:39
Tuktoyaktuk,69.4541,-133.0374,54.77,55,99,2.33,CA,2021-07-12 22:04:39
Namatanai,-3.6667,152.4333,81.28,74,49,9.42,PG,2021-07-12 22:04:39
Albany,42.6001,-73.9662,70.63,95,99,3.02,US,2021-07-12 22:02:07
High Rock,26.6208,-78.2833,84.22,70,49,16.49,BS,2021-07-12 22:04:40
Sept-Iles,50.2001,-66.3821,67.24,55,6,5.99,CA,2021-07-12 22:00:05
Saskylakh,71.9167,114.0833,57.49,54,96,8.86,RU,2021-07-12 22:04:40
Nicoya,10.1483,-85.452,85.55,84,100,4.79,CR,2021-07-12 22:04:40
Mataura,-46.1927,168.8643,40.19,95,85,1.97,NZ,2021-07-12 22:04:40
Avarua,-21.2078,-159.775,76.66,74,14,18.41,CK,2021-07-12 22:04:41
Carlsbad,33.1581,-117.3506,97.86,69,20,5.01,US,2021-07-12 22:04:41
Lagoa,39.05,-27.9833,67.23,74,6,18.52,PT,2021-07-12 22:04:41
Talnakh,69.4865,88.3972,36.93,89,100,7.83,RU,2021-07-12 22:04:42
Ondjiva,-17.0667,15.7333,56.05,30,14,7.11,AO,2021-07-12 22:04:42
Otane,-39.8833,176.6333,46.0,86,100,9.46,NZ,2021-07-12 22:04:42
Kwekwe,-18.9281,29.8149,55.62,59,57,3.04,ZW,2021-07-12 22:04:42
Changji,44.0167,87.3167,74.19,40,0,2.24,CN,2021-07-12 22:04:43
Rosario,-32.9468,-60.6393,69.08,70,100,4.34,AR,2021-07-12 22:04:02
Castro,-24.7911,-50.0119,56.35,68,71,1.9,BR,2021-07-12 22:01:13
Katsina,12.9894,7.6006,79.47,68,51,15.35,NG,2021-07-12 22:04:43
Hanna,51.6334,-111.9018,76.78,40,30,2.37,CA,2021-07-12 22:04:43
Bubaque,11.2833,-15.8333,79.2,81,100,5.39,GW,2021-07-12 22:04:44
Hilo,19.7297,-155.09,81.63,72,89,11.81,US,2021-07-12 22:02:02
Nikolskoye,59.7035,30.7861,66.09,60,1,3.36,RU,2021-07-12 22:04:44
Vaini,-21.2,-175.2,77.16,94,75,6.91,TO,2021-07-12 22:04:44
Gandajika,-6.75,23.95,71.15,22,3,4.03,CD,2021-07-12 22:04:45
Ormara,25.2088,64.6357,83.5,83,100,5.44,PK,2021-07-12 22:04:45
Lincoln,40.8,-96.667,86.09,49,1,3.0,US,2021-07-12 22:04:45
Gilgit,35.9221,74.3087,77.47,64,24,3.58,PK,2021-07-12 22:04:46
East London,-33.0153,27.9116,58.24,65,83,25.84,ZA,2021-07-12 22:04:46
Nizhniy Tsasuchey,50.5167,115.1333,63.19,92,95,9.93,RU,2021-07-12 22:04:46
Dingle,10.9995,122.6711,76.96,93,100,3.78,PH,2021-07-12 22:04:46
Karpogory,64.0019,44.4451,58.3,66,66,4.74,RU,2021-07-12 22:04:47
Ayr,55.4627,-4.6339,62.58,82,20,4.61,GB,2021-07-12 22:04:47
Son La,21.3167,103.9,69.01,94,22,1.68,VN,2021-07-12 22:04:47
Kiama,-34.6833,150.8667,51.26,83,3,5.3,AU,2021-07-12 22:04:48
Puerto Ayora,-0.7393,-90.3518,82.36,74,73,9.89,EC,2021-07-12 22:04:48
Ambilobe,-13.2,49.05,65.08,80,0,4.54,MG,2021-07-12 22:04:48
Saint George,37.1041,-113.5841,109.87,15,1,3.0,US,2021-07-12 22:04:49
Camacha,33.0833,-16.3333,66.96,77,40,14.97,PT,2021-07-12 22:04:49
Tura,25.5198,90.2201,73.9,98,92,5.21,IN,2021-07-12 22:04:49
Lompoc,34.6391,-120.4579,90.01,71,1,13.8,US,2021-07-12 22:04:49
Beringovskiy,63.05,179.3167,60.91,61,64,2.82,RU,2021-07-12 22:04:50
Colesberg,-30.72,25.0972,40.59,64,54,27.65,ZA,2021-07-12 22:04:50
Cherskiy,68.75,161.3,48.72,66,97,9.62,RU,2021-07-12 22:04:50
Mabai,23.0128,104.4508,64.09,99,83,3.11,CN,2021-07-12 22:04:51
Liwale,-9.7667,37.9333,62.49,96,16,0.89,TZ,2021-07-12 22:04:51
Deputatskiy,69.3,139.9,45.05,81,100,3.85,RU,2021-07-12 22:04:51
Mehamn,71.0357,27.8492,50.83,95,99,22.15,NO,2021-07-12 22:04:51
Sao Felix Do Xingu,-6.6447,-51.995,84.54,41,92,1.34,BR,2021-07-12 22:00:38
Chicama,-7.8447,-79.1469,64.94,75,100,8.9,PE,2021-07-12 22:04:52
Te Anau,-45.4167,167.7167,35.06,91,37,1.23,NZ,2021-07-12 22:04:52
Turukhansk,65.8167,87.9833,40.15,73,55,6.91,RU,2021-07-12 22:04:52
Paita,-5.0892,-81.1144,73.96,79,65,17.25,PE,2021-07-12 22:04:53
Tabou,4.423,-7.3528,76.35,78,42,9.6,CI,2021-07-12 22:04:53
Bengkulu,-3.8004,102.2655,73.96,89,75,3.91,ID,2021-07-12 22:04:53
Yaan,7.3833,8.5667,71.82,96,90,7.09,NG,2021-07-12 22:04:53
Melfi,40.9965,15.6514,76.23,56,1,5.32,IT,2021-07-12 22:04:54
Kavieng,-2.5744,150.7967,82.98,76,44,15.88,PG,2021-07-12 22:04:54
Linxi,39.7,118.4333,74.43,98,98,11.27,CN,2021-07-12 22:04:54
Laguna,38.421,-121.4238,110.43,32,1,4.0,US,2021-07-12 22:04:54
Half Moon Bay,37.4636,-122.4286,87.75,69,40,20.71,US,2021-07-12 22:04:55
Carutapera,-1.195,-46.02,77.65,85,100,7.36,BR,2021-07-12 22:04:55
Grindavik,63.8424,-22.4338,50.56,93,75,17.27,IS,2021-07-12 22:04:55
Freetown,8.484,-13.2299,76.62,89,100,5.64,SL,2021-07-12 22:04:56
Dikson,73.5069,80.5464,33.24,89,100,20.09,RU,2021-07-12 22:04:56
Russell,32.3502,-85.1999,79.83,89,90,5.75,US,2021-07-12 22:04:56
Airai,-8.9266,125.4092,54.18,55,9,3.8,TL,2021-07-12 22:04:57
Alofi,-19.0595,-169.9187,78.69,83,75,12.66,NU,2021-07-12 22:04:57
Shubarkuduk,49.1447,56.4872,64.11,59,0,6.06,KZ,2021-07-12 22:04:57
Telimele,10.9167,-13.3333,70.99,98,100,1.81,GN,2021-07-12 22:04:57
Butaritari,3.0707,172.7902,82.65,77,84,14.18,KI,2021-07-12 22:04:58
Alakurtti,66.9672,30.3491,60.64,65,89,4.99,RU,2021-07-12 22:04:58
Nenjiang,49.1833,125.2167,73.08,97,98,12.26,CN,2021-07-12 22:04:58
Glazov,58.1394,52.6584,55.71,94,10,3.65,RU,2021-07-12 22:04:58
Tiznit,29.5833,-9.5,86.09,36,100,2.59,MA,2021-07-12 22:04:59
Tamsweg,47.1281,13.811,64.47,97,66,5.91,AT,2021-07-12 22:04:59
Hovd,48.0056,91.6419,58.59,54,67,6.53,MN,2021-07-12 22:04:59
Namie,37.4833,141.0,75.72,91,100,6.29,JP,2021-07-12 22:05:00
Sovetskaya Gavan,48.9723,140.2878,65.88,94,48,3.02,RU,2021-07-12 22:05:00
Peddapalli,18.6167,79.3667,76.77,90,100,10.02,IN,2021-07-12 22:05:00
Narsaq,60.9167,-46.05,48.42,87,100,3.85,GL,2021-07-12 22:05:00
Coahuayana,18.7333,-103.6833,90.88,61,86,5.08,MX,2021-07-12 22:05:01
El Reten,10.6114,-74.2682,90.21,66,12,11.74,CO,2021-07-12 22:05:03
Broken Hill,-31.95,141.4333,48.56,64,100,5.59,AU,2021-07-12 22:05:03
Barrow,71.2906,-156.7887,46.42,71,40,17.27,US,2021-07-12 22:05:03
Joshimath,30.5667,79.5667,69.22,89,96,1.95,IN,2021-07-12 22:05:04
Lichuan,30.3,108.85,64.11,99,29,2.57,CN,2021-07-12 22:05:04
Nigde,37.8333,34.75,63.73,38,0,2.13,TR,2021-07-12 22:05:05
Manbij,36.5281,37.9549,84.97,47,0,15.46,SY,2021-07-12 22:05:05
Petatlan,17.5167,-101.2667,91.2,68,100,4.83,MX,2021-07-12 22:05:05
Luderitz,-26.6481,15.1594,54.05,76,23,11.52,NA,2021-07-12 22:05:05
Naze,28.3667,129.4833,79.72,84,100,5.64,JP,2021-07-12 22:05:06
Port Lincoln,-34.7333,135.8667,49.91,76,51,11.41,AU,2021-07-12 22:05:06
Lagos,6.5833,3.75,76.69,83,89,5.7,NG,2021-07-12 22:03:10
Ixtapa,20.7,-105.2,90.23,66,40,10.36,MX,2021-07-12 22:05:06
Mar Del Plata,-38.0023,-57.5575,55.09,72,100,0.0,AR,2021-07-12 22:04:48
Kamenka,51.3223,42.7678,61.48,69,0,7.61,RU,2021-07-12 22:05:07
Olga,43.7444,135.2892,68.92,96,44,1.5,RU,2021-07-12 22:05:07
Buala,-8.145,159.5921,81.75,80,97,8.59,SB,2021-07-12 22:05:07
Kodiak,57.79,-152.4072,50.23,95,100,8.86,US,2021-07-12 22:02:49
Amga,60.8953,131.9608,62.17,59,20,3.2,RU,2021-07-12 22:05:08
Uto,32.6833,130.6667,79.81,79,100,1.59,JP,2021-07-12 22:05:08
Oyama,36.3,139.8,79.59,85,100,2.15,JP,2021-07-12 22:05:08
Guerrero Negro,27.9769,-114.0611,80.65,54,94,13.73,MX,2021-07-12 22:05:08
Buraydah,26.326,43.975,94.91,11,97,10.31,SA,2021-07-12 22:05:09
Pimentel,-6.8367,-79.9342,70.09,73,0,17.27,PE,2021-07-12 22:05:09
Ngerengere,-6.75,38.1167,66.42,90,52,1.66,TZ,2021-07-12 22:05:09
Ponta Do Sol,32.6667,-17.1,74.71,82,100,11.97,PT,2021-07-12 22:05:10
Katangli,51.7102,143.2326,61.41,96,100,4.65,RU,2021-07-12 22:05:10
Prainha,-1.8,-53.48,76.14,92,94,3.87,BR,2021-07-12 22:05:10
Chokurdakh,70.6333,147.9167,45.09,45,100,9.17,RU,2021-07-12 22:05:11
Mugan,35.9404,101.3842,55.74,53,8,4.07,CN,2021-07-12 22:05:11
Haines Junction,60.7522,-137.5108,54.41,73,100,5.44,CA,2021-07-12 22:05:11
Klaksvik,62.2266,-6.589,50.92,92,75,1.43,FO,2021-07-12 22:05:11
Touros,-5.1989,-35.4608,76.1,78,44,15.55,BR,2021-07-12 22:05:12
Teluknaga,-6.0989,106.6381,79.63,88,20,5.01,ID,2021-07-12 22:05:12
Katsuura,35.1333,140.3,79.11,91,100,7.7,JP,2021-07-12 22:05:12
Caravelas,-17.7125,-39.2481,71.33,80,0,6.26,BR,2021-07-12 22:05:12
Fort Nelson,58.8053,-122.7002,76.21,35,100,5.26,CA,2021-07-12 22:00:13
Vao,-22.6667,167.4833,67.6,66,100,13.15,NC,2021-07-12 22:05:13
Bjornevatn,69.6672,29.9847,55.74,94,75,10.36,NO,2021-07-12 22:05:13
Carballo,43.213,-8.691,60.87,89,31,3.2,ES,2021-07-12 22:05:13
San Quintin,30.4833,-115.95,72.68,65,100,8.72,MX,2021-07-12 22:05:14
Altamirano,16.8833,-92.15,63.25,95,100,3.13,MX,2021-07-12 22:05:14
Madang,-5.2246,145.7966,78.26,89,81,2.42,PG,2021-07-12 22:05:14
Bouca,6.5105,18.2733,70.41,94,100,2.01,CF,2021-07-12 22:05:14
Zwedru,6.0667,-8.1281,71.33,98,38,3.78,LR,2021-07-12 22:05:15
Waipawa,-41.4122,175.5153,45.23,73,60,7.63,NZ,2021-07-12 22:05:15
Nanyuki,0.0167,37.0728,54.75,87,25,9.22,KE,2021-07-12 22:05:15
Fortuna,40.5982,-124.1573,98.47,87,90,13.8,US,2021-07-12 22:05:15
Praia Da Vitoria,38.7333,-27.0667,68.76,78,64,14.7,PT,2021-07-12 22:05:16
Alice Springs,-23.7,133.8833,63.95,20,57,16.11,AU,2021-07-12 22:01:16
Marshfield,44.6689,-90.1718,78.75,53,20,9.22,US,2021-07-12 22:04:28
Ranong,9.9658,98.6348,77.32,89,42,3.94,TH,2021-07-12 22:05:16
Roura,4.7263,-52.3274,82.31,78,84,4.61,GF,2021-07-12 22:05:17
College,64.8569,-147.8028,79.0,31,20,0.0,US,2021-07-12 22:05:17
Vila Velha,-20.3297,-40.2925,77.97,71,20,3.44,BR,2021-07-12 22:05:17
Fairbanks,64.8378,-147.7164,80.6,33,12,1.01,US,2021-07-12 22:00:18
Torbay,47.6666,-52.7314,65.75,86,90,19.57,CA,2021-07-12 22:05:17
Udachnyy,66.4167,112.4,61.74,72,63,9.35,RU,2021-07-12 22:05:18
Shimoda,34.6667,138.95,75.31,83,100,2.44,JP,2021-07-12 22:05:18
Khatanga,71.9667,102.5,44.69,63,100,2.55,RU,2021-07-12 22:05:18
Tongren,27.7172,109.1853,74.77,98,100,3.09,CN,2021-07-12 22:05:19
Acapulco,16.8634,-99.8901,85.82,74,40,6.91,MX,2021-07-12 22:05:17
Nantucket,41.2835,-70.0995,69.26,93,90,16.11,US,2021-07-12 22:02:28
Jining,35.405,116.5814,84.0,1,67,13.87,CN,2021-07-12 22:05:19
Mahon,39.8885,4.2658,73.96,73,40,24.16,ES,2021-07-12 22:05:19
Richards Bay,-28.783,32.0377,70.25,39,11,14.12,ZA,2021-07-12 22:05:20
Auki,-8.7676,160.7034,81.61,75,72,4.0,SB,2021-07-12 22:05:20
Petropavlovsk-Kamchatskiy,53.0452,158.6483,68.59,68,0,8.95,RU,2021-07-12 22:02:57
Berbera,10.4396,45.0143,90.91,42,65,23.2,SO,2021-07-12 22:05:20
Aykhal,66.0,111.5,59.54,76,98,6.71,RU,2021-07-12 22:05:20
Mokhsogollokh,61.4681,128.9203,62.53,59,12,2.93,RU,2021-07-12 22:05:21
Tateyama,34.9833,139.8667,79.02,87,100,6.76,JP,2021-07-12 22:02:56
Geraldton,-28.7667,114.6,63.01,72,75,19.57,AU,2021-07-12 22:05:21
Iqaluit,63.7506,-68.5145,45.7,87,100,5.01,CA,2021-07-12 22:05:21
Jaguey Grande,22.5269,-81.1286,83.05,50,33,11.25,CU,2021-07-12 22:05:22
Maragogi,-9.0122,-35.2225,75.24,82,2,8.39,BR,2021-07-12 22:05:22
Kemin,42.7846,75.6892,66.22,48,97,5.88,KG,2021-07-12 22:05:22
Severo-Kurilsk,50.6789,156.125,53.76,90,81,8.81,RU,2021-07-12 22:05:22
Olafsvik,64.8945,-23.7142,50.9,87,99,11.41,IS,2021-07-12 22:05:23
Ola,59.5833,151.2833,52.39,91,100,3.04,RU,2021-07-12 22:05:23
Roma,43.2128,-75.4557,78.39,85,90,9.22,US,2021-07-12 22:03:47
Flin Flon,54.7682,-101.865,77.05,34,23,16.22,CA,2021-07-12 22:00:49
Bethel,41.3712,-73.414,77.99,87,90,1.99,US,2021-07-12 22:05:23
Goure,13.9835,10.2704,86.74,49,64,14.83,NE,2021-07-12 22:05:24
Olinda,-8.0089,-34.8553,74.93,73,75,9.22,BR,2021-07-12 22:05:24
Los Llanos De Aridane,28.6585,-17.9182,71.35,78,0,14.97,ES,2021-07-12 22:05:24
Nome,64.5011,-165.4064,62.17,67,6,9.66,US,2021-07-12 22:03:05
Flinders,-34.5833,150.8552,51.06,86,4,5.5,AU,2021-07-12 22:05:25
Tecoanapa,16.5167,-98.75,85.46,67,25,8.75,MX,2021-07-12 22:05:25
Sola,-13.8833,167.55,80.29,77,37,12.24,VU,2021-07-12 22:05:25
Cabo San Lucas,22.8909,-109.9124,92.8,40,20,13.8,MX,2021-07-12 22:04:00
Upernavik,72.7868,-56.1549,42.84,67,0,5.37,GL,2021-07-12 22:05:25
Georgetown,5.4112,100.3354,79.9,86,20,0.0,MY,2021-07-12 22:02:52
Kalabo,-14.97,22.6814,56.12,44,3,4.41,ZM,2021-07-12 22:05:26
Ahipara,-35.1667,173.1667,54.18,66,100,17.74,NZ,2021-07-12 22:05:26
Spartanburg,34.9496,-81.9321,88.68,74,1,0.0,US,2021-07-12 22:00:51
Fare,-16.7,-151.0167,79.18,74,1,20.38,PF,2021-07-12 22:05:26
Priiskovyy,51.9333,116.6333,62.71,98,100,4.56,RU,2021-07-12 22:05:27
Souillac,-20.5167,57.5167,70.36,74,27,17.02,MU,2021-07-12 22:05:27
Portland,45.5234,-122.6762,92.44,42,0,1.01,US,2021-07-12 22:00:28
Houma,29.5958,-90.7195,86.02,73,27,7.0,US,2021-07-12 22:03:59
Kropotkin,45.4375,40.5756,77.22,37,21,12.77,RU,2021-07-12 22:05:27
Dukat,62.55,155.55,51.64,90,100,5.48,RU,2021-07-12 22:05:28
Emerald,-23.5333,148.1667,56.98,57,6,6.49,AU,2021-07-12 22:05:28
Namibe,-15.1961,12.1522,63.73,77,69,2.68,AO,2021-07-12 22:05:28
Dhenkanal,20.6667,85.6,83.66,90,100,4.32,IN,2021-07-12 22:05:29
Luanda,-8.8368,13.2343,69.53,90,99,12.57,AO,2021-07-12 22:01:01
Wuwei,37.9281,102.6414,71.49,28,0,5.68,CN,2021-07-12 22:05:29
Alappuzha,9.49,76.3264,79.14,84,100,15.01,IN,2021-07-12 22:05:29
Kamaishi,39.2667,141.8833,69.12,96,70,3.0,JP,2021-07-12 22:05:29
Yarmouth,41.7057,-70.2286,71.37,93,90,18.99,US,2021-07-12 22:05:30
Taganak,6.0833,118.3,81.25,81,64,6.44,PH,2021-07-12 22:05:30
Bonnyville,54.2668,-110.735,78.44,31,12,11.92,CA,2021-07-12 22:05:30
Can Tho,10.0333,105.7833,76.98,100,40,0.0,VN,2021-07-12 22:02:59
Santa Maria,-29.6842,-53.8069,61.83,77,92,5.46,BR,2021-07-12 22:05:31
Adre,13.4667,22.2,72.99,72,100,6.93,TD,2021-07-12 22:05:31
Yarada,17.65,83.2667,81.52,82,100,4.0,IN,2021-07-12 22:05:31
Emmett,43.8735,-116.4993,104.49,18,0,8.55,US,2021-07-12 22:05:16
Tuatapere,-46.1333,167.6833,40.32,86,60,4.7,NZ,2021-07-12 22:05:32
Nieuw Amsterdam,5.8833,-55.0833,84.36,78,20,2.3,SR,2021-07-12 22:05:32
Bandarbeyla,9.4942,50.8122,77.54,82,100,30.4,SO,2021-07-12 22:05:32
Thompson,55.7435,-97.8558,65.95,69,100,8.79,CA,2021-07-12 22:05:32
Banda Aceh,5.5577,95.3222,79.32,76,93,11.9,ID,2021-07-12 22:05:33
West Wendover,40.7391,-114.0733,98.26,13,56,9.89,US,2021-07-12 22:03:10
Bowen,-20.0167,148.2333,62.74,90,50,8.72,AU,2021-07-12 22:05:33
Taoudenni,22.6783,-3.9836,102.45,14,13,5.19,ML,2021-07-12 22:05:33
Coihaique,-45.5752,-72.0662,42.75,75,75,5.75,CL,2021-07-12 22:05:34
Hambantota,6.1241,81.1185,79.14,100,0,11.5,LK,2021-07-12 22:05:34
Grand Forks,47.9417,-97.4337,91.33,33,40,12.66,US,2021-07-12 22:05:34
Dire,12.2833,-10.9667,76.48,89,98,2.55,ML,2021-07-12 22:05:34
Broome,42.2506,-75.833,79.86,83,90,1.99,US,2021-07-12 22:05:35
Finschhafen,-6.6024,147.8681,78.37,84,92,9.17,PG,2021-07-12 22:05:35
Sindou,10.6667,-5.1667,75.9,79,55,3.13,BF,2021-07-12 22:05:35
Yauya,-8.9833,-77.3,55.63,55,97,5.99,PE,2021-07-12 22:05:36
Ampanihy,-24.7,44.75,65.17,48,0,6.69,MG,2021-07-12 22:05:36
Nanortalik,60.1432,-45.2371,39.74,91,69,10.85,GL,2021-07-12 22:05:36
Taldan,53.6667,124.8,60.73,100,100,5.77,RU,2021-07-12 22:05:36
North Bend,43.4065,-124.2243,75.24,75,75,28.77,US,2021-07-12 22:05:09
Anahuac,27.2333,-100.15,92.7,24,100,21.65,MX,2021-07-12 22:05:37
Voi,-3.3945,38.563,66.97,85,22,5.97,KE,2021-07-12 22:05:37
Kangaatsiaq,68.3065,-53.4641,41.72,80,0,8.66,GL,2021-07-12 22:05:37
Tocache,-8.1842,-76.5125,74.86,81,88,0.83,PE,2021-07-12 22:05:38
El Tigre,8.8875,-64.2454,81.7,65,70,12.95,VE,2021-07-12 22:02:52
Yar-Sale,66.8333,70.8333,41.7,64,100,10.11,RU,2021-07-12 22:05:38
Codrington,-38.2667,141.9667,49.89,94,100,10.65,AU,2021-07-12 22:05:38
Port Jervis,41.3751,-74.6927,84.15,94,83,6.98,US,2021-07-12 22:05:38
Evensk,61.95,159.2333,51.22,94,100,5.95,RU,2021-07-12 22:05:39
Padang,-0.9492,100.3543,75.74,90,100,5.7,ID,2021-07-12 22:05:39
Praya,14.9215,-23.5087,75.74,69,75,9.22,CV,2021-07-12 22:05:39
Salalah,17.0151,54.0924,80.69,89,90,5.75,OM,2021-07-12 22:05:40
Verkhnyaya Inta,65.9811,60.3094,41.0,74,89,3.33,RU,2021-07-12 22:05:40
Cooma,-36.2333,149.1333,40.64,82,21,7.38,AU,2021-07-12 22:05:17
Vardo,70.3705,31.1107,53.8,89,100,17.49,NO,2021-07-12 22:05:40
Telfs,47.3,11.0667,67.46,86,94,6.06,AT,2021-07-12 22:05:41
Mahebourg,-20.4081,57.7,70.25,68,45,18.23,MU,2021-07-12 22:05:41
Malmyzh,56.5205,50.6818,65.03,66,55,7.34,RU,2021-07-12 22:05:41
Jalu,29.0331,21.5482,90.27,23,0,7.47,LY,2021-07-12 22:05:41
Makakilo City,21.3469,-158.0858,84.52,60,40,14.97,US,2021-07-12 22:05:42
Rocha,-34.4833,-54.3333,61.81,92,100,3.65,UY,2021-07-12 22:05:42
Brewster,41.3973,-73.6171,78.91,89,90,1.01,US,2021-07-12 22:05:42
Nchelenge,-9.3451,28.734,62.91,45,10,4.81,ZM,2021-07-12 22:05:42
Umm Lajj,25.0213,37.2685,86.86,55,0,8.75,SA,2021-07-12 22:05:43
Aasiaat,68.7098,-52.8699,40.12,85,10,10.11,GL,2021-07-12 22:05:43
Lazaro Cardenas,17.9583,-102.2,83.88,74,100,5.77,MX,2021-07-12 22:05:43
Oktyabrskiy,54.4815,53.471,58.59,79,17,3.2,RU,2021-07-12 22:05:43
Kichera,55.9375,110.0997,61.03,72,1,3.85,RU,2021-07-12 22:05:44
Yatou,37.15,122.3833,74.86,93,100,20.33,CN,2021-07-12 22:05:44
Dinhata,26.1333,89.4667,82.26,82,62,4.32,IN,2021-07-12 22:05:44
Quelimane,-17.8786,36.8883,66.15,82,0,2.3,MZ,2021-07-12 22:05:45
Porto Belo,-27.1578,-48.5531,66.96,91,87,4.74,BR,2021-07-12 22:05:45
Arraial Do Cabo,-22.9661,-42.0278,70.27,80,0,9.08,BR,2021-07-12 22:05:45
Mao,39.8885,4.2658,73.96,73,40,24.16,ES,2021-07-12 22:05:45
Kahului,20.8947,-156.47,86.02,61,40,19.57,US,2021-07-12 22:05:15
Vrangel,42.7297,133.0839,67.41,96,52,0.11,RU,2021-07-12 22:05:46
Adrar,20.5022,-10.0711,91.51,32,64,6.29,MR,2021-07-12 22:05:46
Harwich,51.9419,1.2844,63.0,94,89,1.01,GB,2021-07-12 22:05:46
Wilmington,34.2257,-77.9447,88.99,68,20,12.66,US,2021-07-12 22:02:20
